p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.87419226978114,0.461,0.447,0,0,TRBC2
0,4.92437466439515,0.49,0.501,0,0,IL7R
0,2.74036190632066,0.653,0.664,0,0,TSC22D3
0,1.92335316010864,0.249,0.258,0,0,DUSP4
0,3.26656294224386,0.545,0.536,0,0,CD69
0,0.332907559858277,0.998,0.989,0,0,MT-CO2
0,0.389864977107245,0.969,0.976,0,0,MT-CYB
0,2.17819960544141,0.533,0.54,0,0,ISG20
0,1.88141398354359,0.377,0.37,0,0,EMP3
0,0.474606868585239,0.967,0.962,0,0,MT-ND1
1.11253692925361e-308,2.86868292251441,0.136,0.402,1.11253692926779e-308,0,GBP5
1.11253692925592e-308,0.627678804958072,0.273,0.704,1.11253693530244e-308,0,CD99
1.11318058708135e-308,0.60284253123014,0.767,0.895,3.36118117649273e-308,0,HSP90AA1
1.13466820686977e-308,2.83986422103118,0.134,0.369,1.15569531711623e-306,0,GPR65
1.16109416746017e-308,0.418952403683307,0.197,0.589,2.53565897914696e-306,0,ARPC1B
2.11812208901022e-290,0.530698268007217,0.019,0.278,5.53041677440568e-287,0,PLXNC1
6.99149081078946e-284,1.81430987413675,0.297,0.338,1.82547825069713e-280,0,BIRC3
1.00252673215142e-283,2.42069319859911,0.1,0.34,2.61759729764735e-280,0,CXCL13
3.66831714746761e-275,1.03897117349513,0.073,0.421,9.57797607203792e-272,0,MYLIP
1.90037138948537e-264,1.77196543916985,0.07,0.387,4.9618696979463e-261,0,SPRY1
3.7786536753123e-264,0.567902059354966,0.708,0.809,9.8660647462404e-261,0,VIM
1.52085963216083e-257,0.811395867715498,0.035,0.354,3.97096449957193e-254,0,ADAM8
1.89996234756838e-247,2.7809724035537,0.171,0.465,4.96080168950105e-244,0,HOPX
6.31612072324757e-241,1.63091088847091,0.163,0.492,1.64913912083994e-237,0,UCP2
7.39304002749414e-241,2.4384501987292,0.155,0.451,1.93032275117872e-237,0,SOCS1
9.14832843778374e-230,0.415051363381581,0.088,0.429,2.38862855510534e-226,0,ARL4A
8.53072505416738e-226,0.640061117907301,0.309,0.706,2.2273723116431e-222,0,DNAJB1
4.46853834779284e-219,2.21303372276026,0.107,0.279,1.16673536260871e-215,0,PLAC8
3.15398703627535e-218,2.1583376337113,0.247,0.549,8.23506015171494e-215,0,CD53
2.91942843329245e-217,1.62640582864061,0.385,0.448,7.62262763932658e-214,0,COTL1
5.6401589428327e-216,0.331092355333602,0.07,0.408,1.47264549997362e-212,0,SLC20A1
3.83481248048977e-215,2.98518139338071,0.297,0.341,1.00126953865588e-211,0,ETS1
5.55217718045615e-211,1.03227218464376,0.076,0.4,1.4496734618171e-207,0,RECQL
2.04630794129672e-207,1.04606125466427,0.161,0.48,5.34291003472574e-204,0,GBP1
4.47289070895815e-206,4.00862919313029,0.209,0.469,1.16787176410897e-202,0,CD8A
8.39711841847247e-200,3.33990291763663,0.203,0.454,2.19248761906316e-196,0,APBB1IP
2.26655556835982e-198,2.63369550785014,0.108,0.397,5.91797658898748e-195,0,NFATC2
3.02251421409892e-191,0.895198165114648,0.171,0.504,7.89178461301229e-188,0,TAP1
2.55803050118588e-190,3.2246565140447,0.141,0.4,6.67901763859633e-187,0,LAG3
1.27560653153946e-189,0.712285673565081,0.18,0.524,3.33060865384952e-186,0,TNFSF10
1.18539848402287e-183,2.66336584799924,0.177,0.39,3.0950754417837e-180,0,LCP2
1.76433154326291e-181,0.859902828582791,0.036,0.346,4.60666965945945e-178,0,LPAR6
1.41049472438923e-175,1.89205276198854,0.226,0.529,3.68280172538028e-172,0,DUSP2
8.15827501129849e-170,0.527240207966123,0.031,0.342,2.13012560545004e-166,0,CPM
7.76241902061938e-166,3.31419555890525,0.148,0.387,2.02676760628372e-162,0,OASL
1.38553890816741e-164,3.25068445058099,0.17,0.366,3.61764208922511e-161,0,CTSW
9.70250417745691e-164,2.66834900869062,0.119,0.38,2.533323840734e-160,0,TENT5C
8.35955130915887e-161,0.99971661603481,0.054,0.374,2.18267884682138e-157,0,CDC25B
1.9674383465291e-157,2.90305826295024,0.033,0.29,5.13698152278747e-154,0,RAB33A
2.11291957002071e-156,2.30744061593635,0.488,0.583,5.51683299732408e-153,0,RGS1
4.48113047561901e-154,2.1178464870966,0.168,0.45,1.17002316718412e-150,0,SAMHD1
2.43260811309173e-152,0.288229407603922,0.147,0.46,6.35153978328251e-149,0,CTSS
3.34919966465441e-152,1.63909516613841,0.134,0.424,8.74476032441268e-149,0,FAM129A
7.27740711313017e-148,0.444177981710854,0.305,0.664,1.90013099723829e-144,0,NOP53
1.70129432962539e-147,2.2235677039564,0.363,0.444,4.44207949465191e-144,0,LCP1
7.5128994655218e-147,2.43690851108562,0.096,0.351,1.96161805044774e-143,0,RCSD1
7.64153436790918e-134,1.08178514386621,0.38,0.481,1.99520462346109e-130,0,MTRNR2L12
1.07994471061099e-133,0.818086694560037,0.36,0.708,2.8197356394053e-130,0,FOSB
9.94496355854609e-131,1.16224587922652,0.163,0.302,2.59662998513638e-127,0,PDE4B
7.77315628743849e-129,1.30768662038665,0.114,0.426,2.02957110665019e-125,0,GLIPR2
7.31588206386092e-128,2.44837305599046,0.237,0.471,1.91017680687409e-124,0,SAMSN1
3.11350127420438e-121,3.2350328448622,0.444,0.543,8.12935182694765e-118,0,FYB1
2.51388653869817e-119,2.35025999020411,0.105,0.379,6.56375775254092e-116,0,SUSD3
3.29597567656258e-119,0.620824077360898,0.016,0.307,8.6057924915049e-116,0,ZNF891
8.36317180045917e-113,2.45986499149046,0.271,0.535,2.18362415709989e-109,0,LSP1
2.40378934274192e-112,1.25380613767396,0.334,0.667,6.27629397389915e-109,0,ID2
3.77587410762455e-110,3.7700727802172,0.247,0.485,9.85880729500771e-107,0,GIMAP7
3.68346478006789e-107,0.311702385733461,0.126,0.453,9.61752654075726e-104,0,IDI1
2.75616109652269e-105,0.529643418766123,0.138,0.469,7.19633662302076e-102,0,GABPB1-AS1
4.44363139927611e-104,0.331076111043039,0.038,0.353,1.16023215835099e-100,0,NIPAL3
4.31160299024707e-103,0.784769574476969,0.055,0.339,1.12575954075351e-99,0,DUSP10
1.34396022794578e-101,3.0660058060217,0.232,0.303,3.50908015516643e-98,0,RHOH
2.10540263010604e-97,1.3636498493049,0.283,0.583,5.49720626720687e-94,0,STAT1
1.23966653761862e-92,3.58401004561179,0.223,0.42,3.23676932972221e-89,0,CD27
4.38051233296597e-88,1.13588849705909,0.326,0.591,1.14375177013742e-84,0,LAPTM5
1.83897302308766e-84,0.664188980754879,0.22,0.534,4.80155856328189e-81,0,CTSC
8.5702908339167e-81,0.423431248101893,0.03,0.309,2.23770293673565e-77,0,FAM126A
1.72256629997904e-80,3.88135714170097,0.377,0.431,4.49762060924528e-77,0,CD7
3.72635119893926e-75,1.48981180741975,0.027,0.294,9.7295029804304e-72,0,F2R
3.43120086903946e-72,1.55553409530872,0.186,0.461,8.95886546906202e-69,0,UBE2L6
5.15176661357695e-72,4.10802841423376,0.392,0.471,1.34512626280494e-68,0,NKG7
5.71775863315357e-72,2.09336499239709,0.238,0.364,1.4929067791164e-68,0,RGCC
2.61965660550417e-71,3.54540386260733,0.238,0.433,6.83992339697138e-68,0,SLA
1.38057456764691e-68,2.7518633434834,0.161,0.284,3.60468019612607e-65,0,TNFRSF18
3.11302054124272e-68,3.1206386052027,0.278,0.51,8.12809663318473e-65,0,IL2RG
2.93354470293828e-67,0.340773198923046,0.133,0.423,7.65948521937186e-64,0,RAB11FIP1
1.35023940386171e-61,0.999457431809454,0.081,0.265,3.52547508348293e-58,0,SNHG12
4.06244275482221e-61,1.61204341154966,0.331,0.463,1.06070380328408e-57,0,IRF1
1.86628774936205e-60,1.43390700411581,0.031,0.305,4.87287731358431e-57,0,HIST1H1D
1.34990892895138e-57,2.17030855093137,0.24,0.381,3.52461221349204e-54,0,ARL4C
8.78184461332872e-53,0.391403936131073,0.354,0.695,2.29293962854013e-49,0,PNRC1
2.59291862916239e-48,3.37360012090732,0.37,0.451,6.770110540743e-45,0,CYTIP
2.46143567956061e-47,3.58362523766937,0.27,0.472,6.42680855933275e-44,0,GIMAP4
1.91650275384274e-45,0.850058598017645,0.126,0.303,5.0039886902834e-42,0,MIR4435-2HG
8.05708179106549e-43,0.767113219157188,0.024,0.262,2.1037040556472e-39,0,HEG1
1.05264268414084e-41,0.307763576125398,0.479,0.795,2.74845004829174e-38,0,DUSP1
1.06679666240433e-41,1.06416860771388,0.158,0.323,2.7854060855377e-38,0,GBP2
2.65708482590915e-41,3.19923902702057,0.179,0.394,6.93764848044879e-38,0,RASGRP1
