cluster,gene,avg_log2FC,p_val_adj
0,IL7R,4.92437466439515,0
0,KLRB1,4.20129273854263,0.000320636659791468
0,NKG7,4.10802841423376,1.34512626280494e-68
0,CCL5,4.07460948646604,0
0,CD8A,4.00862919313029,1.16787176410897e-202
0,CD7,3.88135714170097,4.49762060924528e-77
0,TRBC2,3.87419226978114,0
0,GIMAP7,3.7700727802172,9.85880729500771e-107
0,TNFRSF4,3.72853033305108,0
0,TRAC,3.71009629766983,0
0,PTPRC,3.62498905039493,0
0,CD27,3.58401004561179,3.23676932972221e-89
0,GIMAP4,3.58362523766937,6.42680855933275e-44
0,SLA,3.54540386260733,6.83992339697138e-68
0,CCL4,3.51873199633094,3.45662652709886e-15
0,LTB,3.51086073040955,0
0,CYTIP,3.37360012090732,6.770110540743e-45
0,APBB1IP,3.33990291763663,2.19248761906316e-196
0,CD48,3.31581163749938,1.11588258231888e-07
0,OASL,3.31419555890525,2.02676760628372e-162
1,KRTDAP,4.70819096975659,1.42023889638793e-05
1,SPRR1B,4.41434853796509,7.65464786638449e-252
1,PSORS1C2,3.83534577143065,2.8421560179322e-13
1,RHCG,3.6258286470346,3.21273814014723e-76
1,FGFBP2,3.47353196389579,2.39654138502746e-242
1,LY6D,3.36105857328574,3.06382845991842e-162
1,IL36G,3.33702767973899,1.10495870911304e-122
1,IGFL2-AS1,3.28354840604694,8.26293031171896e-248
1,UNC5B-AS1,3.26087992478344,7.04268588842567e-146
1,SBSN,3.18389364951213,0
1,TFF2,3.16020970871715,1.9579615999882e-63
1,CALB2,3.03870831548639,2.72659868251169e-30
1,FOXI1,2.92961971177015,6.33187086907706e-48
1,XG,2.86973659413956,1.06787537649205e-88
1,PPP1R1A,2.84419370545894,0.00544117411935598
1,CSTA,2.8181498850884,0
1,AL161431.1,2.78475978867813,0
1,EGLN3,2.76634420176343,4.27150297709468e-93
1,ID1,2.73425518938755,0
1,VGLL1,2.71407512459436,1.18209948369834e-08
2,AL033397.2,5.91092135390037,0
2,PIP,4.84969256216629,1.09077149622896e-39
2,ZNF350-AS1,4.83599526019828,0
2,AC093001.1,4.77073918109007,0
2,AKR1B15,4.61709979622049,0
2,SPINK8,4.51905593777783,0
2,AC013470.2,4.50521570087343,0
2,FCN2,4.49873150216423,0
2,UGT2B11,4.35097533238935,0
2,DHRS2,4.33463607298912,0
2,AKR1D1,4.31264898967412,0
2,AC093159.1,4.30244080563356,0
2,HMGCS2,4.26794081601559,0
2,HRASLS2,4.26737694591383,0
2,ST8SIA6-AS1,4.26419150609329,0
2,ZNF385B,4.16392347564126,0
2,PCAT18,4.11349598739573,0
2,SP5,4.01998135173862,0
2,TSPAN8,4.00104437691377,0
2,DIO2,3.92889743988491,0
3,PIMREG,4.89199253020264,7.40462133911065e-264
3,SPC25,4.44358358157995,0
3,CEP55,4.31997388562668,0
3,PKMYT1,4.30374331760365,2.44060926130642e-147
3,ASF1B,4.24339987799866,0
3,PCLAF,4.22064568563517,0
3,CDCA3,4.20643247208707,0
3,PBK,4.14348268677604,0
3,CCNB2,4.12990430874597,0
3,UBE2C,4.02989892965284,0
3,PRR11,3.87301960431956,7.7551117688826e-05
3,PLK1,3.87027700055777,2.89232581608968e-109
3,MYBL2,3.84899593444686,0
3,AURKB,3.74927223710383,9.98370429727395e-193
3,CDC20,3.66329025420524,0
3,CDKN3,3.652227194942,0
3,CDK1,3.65140012928451,0
3,NUF2,3.64558970206991,8.34981308070976e-97
3,TK1,3.64244594553727,0
3,BIRC5,3.62570364240478,0
4,MS4A4A,7.86965561402441,0
4,OLR1,7.86290851079423,0
4,FPR3,7.75574992474444,0
4,C1QC,7.73000230126096,0
4,LYZ,7.71183398790405,0
